"","exposure_year","outcome_year","lag","wtd_pop_ctrl"
"1",2007,1995,-12,101097.469526319
"2",2007,1996,-11,102988.858023006
"3",2007,1997,-10,105014.451783921
"4",2007,1998,-9,106619.54925658
"5",2007,1999,-8,108297.495949328
"6",2007,2000,-7,110020.164274676
"7",2007,2001,-6,111556.901893101
"8",2007,2002,-5,113231.091200566
"9",2007,2003,-4,114806.293810383
"10",2007,2004,-3,116989.312462687
"11",2007,2005,-2,119207.06606701
"12",2007,2006,-1,122114.406716085
"13",2007,2007,0,123641.376187065
"14",2007,2008,1,125092.365556856
"15",2007,2009,2,126189.351118539
"16",2007,2010,3,127390.347190863
"17",2007,2011,4,128611.573641762
"18",2007,2012,5,130106.213604356
"19",2007,2013,6,131455.525817009
"20",2007,2014,7,133002.250647516
"21",2007,2015,8,134657.195742045
"22",2007,2016,9,136421.620776232
"23",2007,2017,10,137908.742632992
"24",2007,2018,11,139222.499882495
