fips,year,income_adjusted_to_2000
00000,1995,26749
01000,1995,22540
01001,1995,21925
01003,1995,23968
01005,1995,18030
01007,1995,17395
01009,1995,18738
01011,1995,15486
01013,1995,17649
01015,1995,21184
01017,1995,18843
01019,1995,17772
01021,1995,18984
01023,1995,18781
01025,1995,19207
01027,1995,20333
01029,1995,19552
01031,1995,21762
01033,1995,21385
01035,1995,18727
01037,1995,16742
01039,1995,18977
01041,1995,19663
01043,1995,20273
01045,1995,20994
01047,1995,18524
01049,1995,18974
01051,1995,21903
01053,1995,17895
01055,1995,20551
01057,1995,19068
01059,1995,20259
01061,1995,20316
01063,1995,15867
01065,1995,16606
01067,1995,19565
01069,1995,23401
01071,1995,20175
01073,1995,27219
01075,1995,19131
01077,1995,22441
01079,1995,18765
01081,1995,20343
01083,1995,21668
01085,1995,15671
01087,1995,16347
01089,1995,26879
01091,1995,19718
01093,1995,18791
01095,1995,23065
01097,1995,20782
01099,1995,18595
01101,1995,26237
01103,1995,24381
01105,1995,15256
01107,1995,17436
01109,1995,20299
01111,1995,17752
01113,1995,18787
01115,1995,19827
01117,1995,30025
01119,1995,16067
01121,1995,18152
01123,1995,21652
01125,1995,22835
01127,1995,20839
01129,1995,17852
01131,1995,14697
01133,1995,20425
02000,1995,29913
02010,1995,NA
02013,1995,22793
02016,1995,31250
02020,1995,32887
02050,1995,20545
02060,1995,44063
02063,1995,NA
02066,1995,NA
02068,1995,28559
02070,1995,26227
02090,1995,27097
02100,1995,31218
02105,1995,NA
02110,1995,37610
02122,1995,27454
02130,1995,36438
02150,1995,26502
02158,1995,13348
02164,1995,19371
02170,1995,25659
02180,1995,22584
02185,1995,48305
02188,1995,21507
02195,1995,NA
02198,1995,NA
02201,1995,21695
02220,1995,28764
02230,1995,NA
02231,1995,NA
02232,1995,25685
02240,1995,23216
02261,1995,30469
02275,1995,NA
02280,1995,28032
02282,1995,26822
02290,1995,20558
02901,1995,NA
02903,1995,NA
02904,1995,NA
02905,1995,NA
02907,1995,NA
02908,1995,NA
02910,1995,NA
02912,1995,NA
02916,1995,NA
02919,1995,NA
02920,1995,NA
02921,1995,NA
02922,1995,NA
02923,1995,NA
02924,1995,NA
02925,1995,NA
02926,1995,NA
02928,1995,NA
02929,1995,NA
04000,1995,23515
04001,1995,12758
04003,1995,19005
04005,1995,20442
04007,1995,18437
04009,1995,14629
04011,1995,20584
04012,1995,16628
04013,1995,25981
04015,1995,17755
04017,1995,14365
04019,1995,22894
04021,1995,16470
04023,1995,16221
04025,1995,20518
04027,1995,20250
05000,1995,21078
05001,1995,22970
05003,1995,20684
05005,1995,21028
05007,1995,26160
05009,1995,19708
05011,1995,18718
05013,1995,16513
05015,1995,18898
05017,1995,17018
05019,1995,18038
05021,1995,17837
05023,1995,19298
05025,1995,18675
05027,1995,19971
05029,1995,19745
05031,1995,20647
05033,1995,17546
05035,1995,19105
05037,1995,18961
05039,1995,19079
05041,1995,18149
05043,1995,19216
05045,1995,21890
05047,1995,19080
05049,1995,14593
05051,1995,23221
05053,1995,19970
05055,1995,18206
05057,1995,18240
05059,1995,17301
05061,1995,21547
05063,1995,19773
05065,1995,16385
05067,1995,19172
05069,1995,19300
05071,1995,17793
05073,1995,15891
05075,1995,17430
05077,1995,14920
05079,1995,14721
05081,1995,19681
05083,1995,18275
05085,1995,21833
05087,1995,18066
05089,1995,17027
05091,1995,18931
05093,1995,18858
05095,1995,17777
05097,1995,16440
05099,1995,17149
05101,1995,13800
05103,1995,18292
05105,1995,19323
05107,1995,16564
05109,1995,19034
05111,1995,18771
05113,1995,17544
05115,1995,20111
05117,1995,18829
05119,1995,27481
05121,1995,16547
05123,1995,16993
05125,1995,21145
05127,1995,17676
05129,1995,15196
05131,1995,23528
05133,1995,19460
05135,1995,16774
05137,1995,15899
05139,1995,23064
05141,1995,17064
05143,1995,21583
05145,1995,18261
05147,1995,18111
05149,1995,18599
06000,1995,27907
06001,1995,30518
06003,1995,21808
06005,1995,21801
06007,1995,20743
06009,1995,21470
06011,1995,25409
06013,1995,35916
06015,1995,17520
06017,1995,29821
06019,1995,21501
06021,1995,18499
06023,1995,21461
06025,1995,19524
06027,1995,23734
06029,1995,20687
06031,1995,17942
06033,1995,21332
06035,1995,20212
06037,1995,26926
06039,1995,17926
06041,1995,51365
06043,1995,20851
06045,1995,22270
06047,1995,18399
06049,1995,21160
06051,1995,22495
06053,1995,28457
06055,1995,31315
06057,1995,24567
06059,1995,31958
06061,1995,31570
06063,1995,22732
06065,1995,22152
06067,1995,26946
06069,1995,24766
06071,1995,21026
06073,1995,27506
06075,1995,41090
06077,1995,22383
06079,1995,23888
06081,1995,41085
06083,1995,29061
06085,1995,36054
06087,1995,30208
06089,1995,23128
06091,1995,21085
06093,1995,20845
06095,1995,24827
06097,1995,29573
06099,1995,21234
06101,1995,24066
06103,1995,17685
06105,1995,19050
06107,1995,19189
06109,1995,20988
06111,1995,30339
06113,1995,26912
06115,1995,17581
08000,1995,28322
08001,1995,22836
08003,1995,20321
08005,1995,34230
08007,1995,18441
08009,1995,21988
08011,1995,18258
08013,1995,32951
08014,1995,NA
08015,1995,20164
08017,1995,30293
08019,1995,27095
08021,1995,15400
08023,1995,18446
08025,1995,14064
08027,1995,21146
08029,1995,19086
08031,1995,32041
08033,1995,20987
08035,1995,44770
08037,1995,33923
08039,1995,27528
08041,1995,25871
08043,1995,17698
08045,1995,25600
08047,1995,29953
08049,1995,25208
08051,1995,21082
08053,1995,25218
08055,1995,16727
08057,1995,19335
08059,1995,30651
08061,1995,30301
08063,1995,24228
08065,1995,20369
08067,1995,24978
08069,1995,25783
08071,1995,19191
08073,1995,19910
08075,1995,22706
08077,1995,22610
08079,1995,21853
08081,1995,23876
08083,1995,21238
08085,1995,21198
08087,1995,21575
08089,1995,20620
08091,1995,24290
08093,1995,26528
08095,1995,19852
08097,1995,51930
08099,1995,19751
08101,1995,21839
08103,1995,21133
08105,1995,22136
08107,1995,29164
08109,1995,17692
08111,1995,21263
08113,1995,31866
08115,1995,24588
08117,1995,31148
08119,1995,27489
08121,1995,24865
08123,1995,21895
08125,1995,22589
09000,1995,36010
09001,1995,48668
09003,1995,33091
09005,1995,33024
09007,1995,32935
09009,1995,31258
09011,1995,30244
09013,1995,29522
09015,1995,25679
10000,1995,28216
10001,1995,23154
10003,1995,31074
10005,1995,22686
11000,1995,36346
11001,1995,36346
12000,1995,26623
12001,1995,23564
12003,1995,18084
12005,1995,23303
12007,1995,17492
12009,1995,24577
12011,1995,29773
12013,1995,16054
12015,1995,23465
12017,1995,20005
12019,1995,25392
12021,1995,38555
12023,1995,18931
12027,1995,18505
12029,1995,15550
12031,1995,26677
12033,1995,22339
12035,1995,22864
12037,1995,19173
12039,1995,18566
12041,1995,17488
12043,1995,17199
12045,1995,19447
12047,1995,15470
12049,1995,17336
12051,1995,20476
12053,1995,21092
12055,1995,20595
12057,1995,25694
12059,1995,16646
12061,1995,34983
12063,1995,18015
12065,1995,19892
12067,1995,15644
12069,1995,23491
12071,1995,26296
12073,1995,25650
12075,1995,17804
12077,1995,16544
12079,1995,16260
12081,1995,27886
12083,1995,21017
12085,1995,38893
12086,1995,24346
12087,1995,32437
12089,1995,26038
12091,1995,26015
12093,1995,17624
12095,1995,24561
12097,1995,18873
12099,1995,40258
12101,1995,21160
12103,1995,28882
12105,1995,22433
12107,1995,18244
12109,1995,32304
12111,1995,20713
12113,1995,22651
12115,1995,35392
12117,1995,27866
12119,1995,16200
12121,1995,20096
12123,1995,18996
12125,1995,13216
12127,1995,21856
12129,1995,20726
12131,1995,18642
12133,1995,17597
13000,1995,25194
13001,1995,18900
13003,1995,19391
13005,1995,18555
13007,1995,20630
13009,1995,22485
13011,1995,20699
13013,1995,21152
13015,1995,22475
13017,1995,19900
13019,1995,20644
13021,1995,25445
13023,1995,20369
13025,1995,16501
13027,1995,18288
13029,1995,22318
13031,1995,18336
13033,1995,16638
13035,1995,20199
13037,1995,19373
13039,1995,20791
13043,1995,19715
13045,1995,20258
13047,1995,19618
13049,1995,14819
13051,1995,25681
13053,1995,16779
13055,1995,18246
13057,1995,26419
13059,1995,21277
13061,1995,18859
13063,1995,21105
13065,1995,18592
13067,1995,31618
13069,1995,20310
13071,1995,19991
13073,1995,27718
13075,1995,18034
13077,1995,23988
13079,1995,18276
13081,1995,20244
13083,1995,17925
13085,1995,23300
13087,1995,20450
13089,1995,27979
13091,1995,18079
13093,1995,18723
13095,1995,21633
13097,1995,23690
13099,1995,20533
13101,1995,17922
13103,1995,21407
13105,1995,19674
13107,1995,18106
13109,1995,20069
13111,1995,18390
13113,1995,31749
13115,1995,22750
13117,1995,32394
13119,1995,21514
13121,1995,36918
13123,1995,20424
13125,1995,21093
13127,1995,26730
13129,1995,20976
13131,1995,17627
13133,1995,20331
13135,1995,29141
13137,1995,21300
13139,1995,23139
13141,1995,15150
13143,1995,19957
13145,1995,24635
13147,1995,19156
13149,1995,18056
13151,1995,24818
13153,1995,23794
13155,1995,20035
13157,1995,22183
13159,1995,21027
13161,1995,19730
13163,1995,18029
13165,1995,16823
13167,1995,17793
13169,1995,22279
13171,1995,18807
13173,1995,18175
13175,1995,21226
13177,1995,23017
13179,1995,17315
13181,1995,18813
13183,1995,14734
13185,1995,21114
13187,1995,20486
13189,1995,20684
13191,1995,17547
13193,1995,18126
13195,1995,20848
13197,1995,16325
13199,1995,17897
13201,1995,22850
13205,1995,19015
13207,1995,21707
13209,1995,17038
13211,1995,22980
13213,1995,18848
13215,1995,23580
13217,1995,21225
13219,1995,28590
13221,1995,20028
13223,1995,20929
13225,1995,22609
13227,1995,24244
13229,1995,19026
13231,1995,20311
13233,1995,17864
13235,1995,21882
13237,1995,21553
13239,1995,17330
13241,1995,20662
13243,1995,17475
13245,1995,21716
13247,1995,25560
13249,1995,19807
13251,1995,18710
13253,1995,21453
13255,1995,20584
13257,1995,21039
13259,1995,17135
13261,1995,21575
13263,1995,16905
13265,1995,16737
13267,1995,19764
13269,1995,17925
13271,1995,17682
13273,1995,17745
13275,1995,22387
13277,1995,21533
13279,1995,20162
13281,1995,20438
13283,1995,16072
13285,1995,22514
13287,1995,18113
13289,1995,17135
13291,1995,19154
13293,1995,19494
13295,1995,19952
13297,1995,22127
13299,1995,18942
13301,1995,16990
13303,1995,20748
13305,1995,19286
13307,1995,20074
13309,1995,16573
13311,1995,22571
13313,1995,24355
13315,1995,19618
13317,1995,20630
13319,1995,19557
13321,1995,20312
15000,1995,29220
15001,1995,21265
15003,1995,31294
15007,1995,25113
15901,1995,25181
16000,1995,22948
16001,1995,30880
16003,1995,18238
16005,1995,20425
16007,1995,16136
16009,1995,20263
16011,1995,18829
16013,1995,38403
16015,1995,21447
16017,1995,19141
16019,1995,23321
16021,1995,16397
16023,1995,19113
16025,1995,20384
16027,1995,19410
16029,1995,20926
16031,1995,20733
16033,1995,28870
16035,1995,19530
16037,1995,21751
16039,1995,20271
16041,1995,16328
16043,1995,17315
16045,1995,19303
16047,1995,22708
16049,1995,18077
16051,1995,18014
16053,1995,21989
16055,1995,22834
16057,1995,21570
16059,1995,19579
16061,1995,21356
16063,1995,18565
16065,1995,13430
16067,1995,18324
16069,1995,24204
16071,1995,17009
16073,1995,17379
16075,1995,17647
16077,1995,21643
16079,1995,18349
16081,1995,17197
16083,1995,21851
16085,1995,26155
16087,1995,18386
17000,1995,29045
17001,1995,23111
17003,1995,16686
17005,1995,20330
17007,1995,26645
17009,1995,16286
17011,1995,22502
17013,1995,20490
17015,1995,23180
17017,1995,21342
17019,1995,24114
17021,1995,22716
17023,1995,20943
17025,1995,19868
17027,1995,22872
17029,1995,21921
17031,1995,30516
17033,1995,20509
17035,1995,22013
17037,1995,23869
17039,1995,23597
17041,1995,22075
17043,1995,39802
17045,1995,19071
17047,1995,20494
17049,1995,23119
17051,1995,18564
17053,1995,23805
17055,1995,19128
17057,1995,19634
17059,1995,19047
17061,1995,16577
17063,1995,26729
17065,1995,19009
17067,1995,21833
17069,1995,18625
17071,1995,19297
17073,1995,22316
17075,1995,22320
17077,1995,20366
17079,1995,20738
17081,1995,20858
17083,1995,22217
17085,1995,25520
17087,1995,15662
17089,1995,29134
17091,1995,23664
17093,1995,27579
17095,1995,21768
17097,1995,41177
17099,1995,22934
17101,1995,22001
17103,1995,21144
17105,1995,22678
17107,1995,20940
17109,1995,19810
17111,1995,29939
17113,1995,26410
17115,1995,24568
17117,1995,22384
17119,1995,24681
17121,1995,22290
17123,1995,22946
17125,1995,20663
17127,1995,20133
17129,1995,25403
17131,1995,21712
17133,1995,26303
17135,1995,20535
17137,1995,21633
17139,1995,21300
17141,1995,23354
17143,1995,25928
17145,1995,18466
17147,1995,25555
17149,1995,18366
17151,1995,16765
17153,1995,18166
17155,1995,24721
17157,1995,18595
17159,1995,22504
17161,1995,25202
17163,1995,23285
17165,1995,19659
17167,1995,28086
17169,1995,19299
17171,1995,18541
17173,1995,20271
17175,1995,21503
17177,1995,25869
17179,1995,24858
17181,1995,19843
17183,1995,21227
17185,1995,21356
17187,1995,18630
17189,1995,22958
17191,1995,20547
17193,1995,21880
17195,1995,23095
17197,1995,28044
17199,1995,21324
17201,1995,26298
17203,1995,23958
18000,1995,24981
18001,1995,21078
18003,1995,27674
18005,1995,28102
18007,1995,21336
18009,1995,19837
18011,1995,32097
18013,1995,23751
18015,1995,22585
18017,1995,22302
18019,1995,23653
18021,1995,20915
18023,1995,21998
18025,1995,17278
18027,1995,20256
18029,1995,23498
18031,1995,22655
18033,1995,23925
18035,1995,23115
18037,1995,26394
18039,1995,25430
18041,1995,22437
18043,1995,26495
18045,1995,20943
18047,1995,21013
18049,1995,21913
18051,1995,21735
18053,1995,22325
18055,1995,20372
18057,1995,39419
18059,1995,29435
18061,1995,22286
18063,1995,27639
18065,1995,22797
18067,1995,26726
18069,1995,23585
18071,1995,21404
18073,1995,22031
18075,1995,19282
18077,1995,20883
18079,1995,21464
18081,1995,27416
18083,1995,22568
18085,1995,25150
18087,1995,18998
18089,1995,24161
18091,1995,23047
18093,1995,22346
18095,1995,23570
18097,1995,27883
18099,1995,23006
18101,1995,20661
18103,1995,20858
18105,1995,21894
18107,1995,23512
18109,1995,24091
18111,1995,21092
18113,1995,22315
18115,1995,21586
18117,1995,19862
18119,1995,18889
18121,1995,20050
18123,1995,19097
18125,1995,20372
18127,1995,28748
18129,1995,23376
18131,1995,20946
18133,1995,20982
18135,1995,21197
18137,1995,22374
18139,1995,21776
18141,1995,24927
18143,1995,20148
18145,1995,24201
18147,1995,20563
18149,1995,17970
18151,1995,24322
18153,1995,19930
18155,1995,18601
18157,1995,22942
18159,1995,25522
18161,1995,21220
18163,1995,26129
18165,1995,21409
18167,1995,21955
18169,1995,22949
18171,1995,18465
18173,1995,25506
18175,1995,19360
18177,1995,22706
18179,1995,24032
18181,1995,23745
18183,1995,24621
19000,1995,24235
19001,1995,19722
19003,1995,19155
19005,1995,19726
19007,1995,18362
19009,1995,21857
19011,1995,22417
19013,1995,23077
19015,1995,25076
19017,1995,23701
19019,1995,20750
19021,1995,22162
19023,1995,21556
19025,1995,22165
19027,1995,23478
19029,1995,21681
19031,1995,24223
19033,1995,23777
19035,1995,22375
19037,1995,22719
19039,1995,17115
19041,1995,23891
19043,1995,21096
19045,1995,22440
19047,1995,21017
19049,1995,27123
19051,1995,17827
19053,1995,15684
19055,1995,20445
19057,1995,23666
19059,1995,27276
19061,1995,24506
19063,1995,21771
19065,1995,20194
19067,1995,21333
19069,1995,22315
19071,1995,21351
19073,1995,23314
19075,1995,26723
19077,1995,21592
19079,1995,24785
19081,1995,21850
19083,1995,23525
19085,1995,21472
19087,1995,21683
19089,1995,21160
19091,1995,24824
19093,1995,21963
19095,1995,24715
19097,1995,20040
19099,1995,24619
19101,1995,22887
19103,1995,26576
19105,1995,18916
19107,1995,19624
19109,1995,21983
19111,1995,22213
19113,1995,27457
19115,1995,21273
19117,1995,19066
19119,1995,21011
19121,1995,21583
19123,1995,20976
19125,1995,22860
19127,1995,24957
19129,1995,25979
19131,1995,23294
19133,1995,20395
19135,1995,20986
19137,1995,22126
19139,1995,24290
19141,1995,22594
19143,1995,22187
19145,1995,22279
19147,1995,21492
19149,1995,23595
19151,1995,22808
19153,1995,29777
19155,1995,22936
19157,1995,23549
19159,1995,16760
19161,1995,21179
19163,1995,26032
19165,1995,21736
19167,1995,22027
19169,1995,24188
19171,1995,22076
19173,1995,16244
19175,1995,20374
19177,1995,17821
19179,1995,21148
19181,1995,23533
19183,1995,24291
19185,1995,17447
19187,1995,23459
19189,1995,22555
19191,1995,21136
19193,1995,24155
19195,1995,21897
19197,1995,23417
20000,1995,25324
20001,1995,19462
20003,1995,17710
20005,1995,19421
20007,1995,19358
20009,1995,22061
20011,1995,20075
20013,1995,20030
20015,1995,24439
20017,1995,22490
20019,1995,17362
20021,1995,18060
20023,1995,25296
20025,1995,23144
20027,1995,22944
20029,1995,21115
20031,1995,21911
20033,1995,21223
20035,1995,20987
20037,1995,20318
20039,1995,21003
20041,1995,21620
20043,1995,19706
20045,1995,21700
20047,1995,23899
20049,1995,19665
20051,1995,22383
20053,1995,19807
20055,1995,21567
20057,1995,22068
20059,1995,21137
20061,1995,21302
20063,1995,22544
20065,1995,20767
20067,1995,22810
20069,1995,23290
20071,1995,28097
20073,1995,18576
20075,1995,22621
20077,1995,20906
20079,1995,23123
20081,1995,31743
20083,1995,24259
20085,1995,23034
20087,1995,21720
20089,1995,22952
20091,1995,37941
20093,1995,21784
20095,1995,21073
20097,1995,21334
20099,1995,19535
20101,1995,23124
20103,1995,22378
20105,1995,18965
20107,1995,20135
20109,1995,20783
20111,1995,20430
20113,1995,23540
20115,1995,19122
20117,1995,23010
20119,1995,25052
20121,1995,23678
20123,1995,22793
20125,1995,20527
20127,1995,18966
20129,1995,20860
20131,1995,22013
20133,1995,21018
20135,1995,23477
20137,1995,20747
20139,1995,19987
20141,1995,21804
20143,1995,20599
20145,1995,23207
20147,1995,23533
20149,1995,21677
20151,1995,23180
20153,1995,22048
20155,1995,22968
20157,1995,23308
20159,1995,18831
20161,1995,20653
20163,1995,20293
20165,1995,18923
20167,1995,20932
20169,1995,25915
20171,1995,26271
20173,1995,27158
20175,1995,22439
20177,1995,26139
20179,1995,23423
20181,1995,22977
20183,1995,22525
20185,1995,21767
20187,1995,27609
20189,1995,25645
20191,1995,21995
20193,1995,22938
20195,1995,18817
20197,1995,25104
20199,1995,22290
20201,1995,19538
20203,1995,33502
20205,1995,18906
20207,1995,17043
20209,1995,19296
21000,1995,21877
21001,1995,16688
21003,1995,17843
21005,1995,21973
21007,1995,21742
21009,1995,20290
21011,1995,15735
21013,1995,15531
21015,1995,25625
21017,1995,22980
21019,1995,23341
21021,1995,21264
21023,1995,17846
21025,1995,15309
21027,1995,17459
21029,1995,20510
21031,1995,15758
21033,1995,20108
21035,1995,22272
21037,1995,23040
21039,1995,21085
21041,1995,18658
21043,1995,14918
21045,1995,15542
21047,1995,19328
21049,1995,21391
21051,1995,13338
21053,1995,13992
21055,1995,17891
21057,1995,13743
21059,1995,22339
21061,1995,14258
21063,1995,11879
21065,1995,14632
21067,1995,28771
21069,1995,16505
21071,1995,16679
21073,1995,25653
21075,1995,21708
21077,1995,17698
21079,1995,18071
21081,1995,18458
21083,1995,20435
21085,1995,16267
21087,1995,16104
21089,1995,19799
21091,1995,21118
21093,1995,21942
21095,1995,14930
21097,1995,19247
21099,1995,15748
21101,1995,22440
21103,1995,20047
21105,1995,19971
21107,1995,20515
21109,1995,13086
21111,1995,28144
21113,1995,21567
21115,1995,17347
21117,1995,25551
21119,1995,14600
21121,1995,14149
21123,1995,20014
21125,1995,18195
21127,1995,14325
21129,1995,14168
21131,1995,16492
21133,1995,15420
21135,1995,13828
21137,1995,16335
21139,1995,20058
21141,1995,19487
21143,1995,16768
21145,1995,25270
21147,1995,12780
21149,1995,18618
21151,1995,18552
21153,1995,14207
21155,1995,17041
21157,1995,22405
21159,1995,15858
21161,1995,19560
21163,1995,19353
21165,1995,12907
21167,1995,20431
21169,1995,15670
21171,1995,17719
21173,1995,17912
21175,1995,12300
21177,1995,17768
21179,1995,21643
21181,1995,17331
21183,1995,17024
21185,1995,29611
21187,1995,17159
21189,1995,13585
21191,1995,18060
21193,1995,16844
21195,1995,18245
21197,1995,16072
21199,1995,17990
21201,1995,15543
21203,1995,14882
21205,1995,15506
21207,1995,16956
21209,1995,24143
21211,1995,24367
21213,1995,19724
21215,1995,19804
21217,1995,18915
21219,1995,18627
21221,1995,19578
21223,1995,16878
21225,1995,21052
21227,1995,22206
21229,1995,18389
21231,1995,14309
21233,1995,20023
21235,1995,16706
21237,1995,14191
21239,1995,29416
22000,1995,22243
22001,1995,17701
22003,1995,15582
22005,1995,22512
22007,1995,18053
22009,1995,16987
22011,1995,19309
22013,1995,17918
22015,1995,22766
22017,1995,24194
22019,1995,22601
22021,1995,17389
22023,1995,16839
22025,1995,17640
22027,1995,17736
22029,1995,17191
22031,1995,18053
22033,1995,25923
22035,1995,15382
22037,1995,19851
22039,1995,16295
22041,1995,17208
22043,1995,16729
22045,1995,18936
22047,1995,18994
22049,1995,20098
22051,1995,25837
22053,1995,16955
22055,1995,24022
22057,1995,19478
22059,1995,17225
22061,1995,19597
22063,1995,19748
22065,1995,15760
22067,1995,18720
22069,1995,17829
22071,1995,25451
22073,1995,21612
22075,1995,21163
22077,1995,18667
22079,1995,22677
22081,1995,17066
22083,1995,18698
22085,1995,17791
22087,1995,20803
22089,1995,23755
22091,1995,15339
22093,1995,18775
22095,1995,19592
22097,1995,17290
22099,1995,16161
22101,1995,19361
22103,1995,27039
22105,1995,18899
22107,1995,17257
22109,1995,19231
22111,1995,19574
