year,fips,income_adjusted_to_2000
2000,00000,30672
2000,01000,24306
2000,01001,23631
2000,01003,26829
2000,01005,18844
2000,01007,17530
2000,01009,20142
2000,01011,15684
2000,01013,18976
2000,01015,22088
2000,01017,20262
2000,01019,18401
2000,01021,19568
2000,01023,19425
2000,01025,20259
2000,01027,18894
2000,01029,18573
2000,01031,24158
2000,01033,21478
2000,01035,19565
2000,01037,18527
2000,01039,19878
2000,01041,21764
2000,01043,22071
2000,01045,21480
2000,01047,19533
2000,01049,20619
2000,01051,24032
2000,01053,19027
2000,01055,21735
2000,01057,19016
2000,01059,20170
2000,01061,20174
2000,01063,17797
2000,01065,16325
2000,01067,19566
2000,01069,24872
2000,01071,22011
2000,01073,31334
2000,01075,19059
2000,01077,22338
2000,01079,19891
2000,01081,20951
2000,01083,22599
2000,01085,17704
2000,01087,16064
2000,01089,29802
2000,01091,21647
2000,01093,18613
2000,01095,21907
2000,01097,22057
2000,01099,19392
2000,01101,28390
2000,01103,25223
2000,01105,17308
2000,01107,19017
2000,01109,21092
2000,01111,18355
2000,01113,19832
2000,01115,21438
2000,01117,33097
2000,01119,17213
2000,01121,19095
2000,01123,21744
2000,01125,24949
2000,01127,21494
2000,01129,18275
2000,01131,16123
2000,01133,19153
2000,02000,32044
2000,02010,NA
2000,02013,22091
2000,02016,21313
2000,02020,35835
2000,02050,21441
2000,02060,37857
2000,02063,NA
2000,02066,NA
2000,02068,39297
2000,02070,29037
2000,02090,29699
2000,02100,34148
2000,02105,NA
2000,02110,38415
2000,02122,29711
2000,02130,37310
2000,02150,29190
2000,02158,15647
2000,02164,23370
2000,02170,26863
2000,02180,23306
2000,02185,44906
2000,02188,24988
2000,02195,NA
2000,02198,NA
2000,02201,22943
2000,02220,31131
2000,02230,NA
2000,02231,NA
2000,02232,31747
2000,02240,23946
2000,02261,32904
2000,02275,NA
2000,02280,30771
2000,02282,29785
2000,02290,21293
2000,02901,NA
2000,02903,NA
2000,02904,NA
2000,02905,NA
2000,02907,NA
2000,02908,NA
2000,02910,NA
2000,02912,NA
2000,02916,NA
2000,02919,NA
2000,02920,NA
2000,02921,NA
2000,02922,NA
2000,02923,NA
2000,02924,NA
2000,02925,NA
2000,02926,NA
2000,02928,NA
2000,02929,NA
2000,04000,26388
2000,04001,14333
2000,04003,20713
2000,04005,23821
2000,04007,19607
2000,04009,14905
2000,04011,23754
2000,04012,15652
2000,04013,29723
2000,04015,19042
2000,04017,15043
2000,04019,24984
2000,04021,17474
2000,04023,17234
2000,04025,21867
2000,04027,17894
2000,05000,22781
2000,05001,22936
2000,05003,21685
2000,05005,22218
2000,05007,31527
2000,05009,21216
2000,05011,18214
2000,05013,19076
2000,05015,18561
2000,05017,18541
2000,05019,19004
2000,05021,19992
2000,05023,21917
2000,05025,21542
2000,05027,21183
2000,05029,22408
2000,05031,22461
2000,05033,19065
2000,05035,20273
2000,05037,18921
2000,05039,20299
2000,05041,18600
2000,05043,20037
2000,05045,22874
2000,05047,19767
2000,05049,17044
2000,05051,23775
