year,fips,poverty_rate
2006,00000,13.3
2006,01000,16.6
2006,01001,12.5
2006,01003,11
2006,01005,28.7
2006,01007,18.8
2006,01009,12.8
2006,01011,32.9
2006,01013,22.8
2006,01015,17.6
2006,01017,18.3
2006,01019,18.1
2006,01021,19
2006,01023,23.5
2006,01025,25.6
2006,01027,15.6
2006,01029,15.9
2006,01031,14.2
2006,01033,14.4
2006,01035,26.3
2006,01037,16.7
2006,01039,16.9
2006,01041,20
2006,01043,15.7
2006,01045,16.9
2006,01047,28.2
2006,01049,17.1
2006,01051,13
2006,01053,22.4
2006,01055,16.7
2006,01057,16.7
2006,01059,17
2006,01061,19.5
2006,01063,33.2
2006,01065,24.9
2006,01067,17.8
2006,01069,16.3
2006,01071,15.5
2006,01073,14.3
2006,01075,18.4
2006,01077,17.1
2006,01079,14.6
2006,01081,18.7
2006,01083,14
2006,01085,28
2006,01087,30.2
2006,01089,11.2
2006,01091,26.2
2006,01093,17.1
2006,01095,17.5
2006,01097,19.1
2006,01099,22
2006,01101,18.6
2006,01103,16
2006,01105,32.3
2006,01107,23
2006,01109,28.1
2006,01111,17.5
2006,01113,23.9
2006,01115,10.4
2006,01117,7.2
2006,01119,30.8
2006,01121,18.4
2006,01123,18.9
2006,01125,19.7
2006,01127,17
2006,01129,20.1
2006,01131,35.5
2006,01133,18.7
2006,02000,10.9
2006,02013,15.2
2006,02016,9.6
2006,02020,9.4
2006,02050,21.2
2006,02060,8.5
2006,02068,6.3
2006,02070,21.1
2006,02090,9.1
2006,02100,13.3
2006,02110,7
2006,02122,11
2006,02130,9.6
2006,02150,8.7
2006,02164,21.1
2006,02170,11
2006,02180,23.1
2006,02185,13.7
2006,02188,22.2
2006,02201,15.4
2006,02220,8.2
2006,02232,13.7
2006,02240,14.3
2006,02261,10.1
2006,02270,32.5
2006,02280,9.9
2006,02282,14.2
2006,02290,24.1
2006,04000,14.2
2006,04001,34.5
2006,04003,18
2006,04005,16.8
2006,04007,20
2006,04009,23.4
2006,04011,10.9
2006,04012,21
2006,04013,12.5
2006,04015,16
2006,04017,24.4
2006,04019,15.3
2006,04021,15.2
2006,04023,21.8
2006,04025,12.4
2006,04027,19
2006,05000,17.3
2006,05001,20.1
2006,05003,19.5
2006,05005,14.5
2006,05007,10.5
2006,05009,14.9
2006,05011,26.1
2006,05013,18.1
2006,05015,18.6
2006,05017,33.4
2006,05019,24.5
2006,05021,21
2006,05023,15.8
2006,05025,15.1
2006,05027,25.4
2006,05029,16.1
2006,05031,16.7
2006,05033,16.8
2006,05035,24.9
2006,05037,19
2006,05039,21.9
2006,05041,31.4
2006,05043,19.1
2006,05045,13.4
2006,05047,16.4
2006,05049,20
2006,05051,16.9
2006,05053,11.8
2006,05055,16
2006,05057,23
2006,05059,14.8
2006,05061,18.6
2006,05063,14.5
2006,05065,20.3
2006,05067,26.1
2006,05069,23.8
2006,05071,19
2006,05073,23.2
2006,05075,21.7
2006,05077,36.5
2006,05079,25.1
2006,05081,19.1
2006,05083,17.2
2006,05085,12.2
2006,05087,18.7
2006,05089,16.8
2006,05091,17.3
2006,05093,27.8
2006,05095,26.5
2006,05097,19.4
2006,05099,19.8
2006,05101,23
2006,05103,21.2
2006,05105,18.2
2006,05107,35.4
2006,05109,19.1
2006,05111,22.8
2006,05113,20.3
2006,05115,17.5
2006,05117,18
2006,05119,14.2
2006,05121,19.6
2006,05123,29.8
2006,05125,10.6
2006,05127,20.6
2006,05129,26.7
2006,05131,15.2
2006,05133,20.5
2006,05135,19.7
2006,05137,21.6
2006,05139,20.5
2006,05141,18.6
2006,05143,15.1
2006,05145,15.6
2006,05147,28.1
2006,05149,17.1
2006,06000,13.1
2006,06001,11.1
2006,06003,16.4
2006,06005,9
2006,06007,16.7
2006,06009,10.8
2006,06011,13.7
2006,06013,7.9
2006,06015,21.8
2006,06017,7.6
2006,06019,20.8
2006,06021,17.8
2006,06023,18
2006,06025,19.4
2006,06027,11.5
2006,06029,20.5
2006,06031,21.3
2006,06033,17.1
2006,06035,15.6
2006,06037,15.4
2006,06039,21.1
2006,06041,8.3
2006,06043,13.4
2006,06045,16.8
2006,06047,20.7
2006,06049,18.7
2006,06051,9.7
2006,06053,11.6
2006,06055,10.3
2006,06057,7.9
2006,06059,9.8
2006,06061,5.7
2006,06063,10.8
2006,06065,12.2
2006,06067,12.1
2006,06069,9.6
2006,06071,13.8
2006,06073,11.7
2006,06075,12.1
2006,06077,14.4
2006,06079,13.1
2006,06081,7.2
2006,06083,15.8
2006,06085,9
2006,06087,11.9
2006,06089,16.7
2006,06091,11.4
2006,06093,17.6
2006,06095,10.4
2006,06097,9.6
2006,06099,14.4
2006,06101,13.3
2006,06103,17.6
2006,06105,16.6
2006,06107,21.6
2006,06109,11.4
2006,06111,9
2006,06113,16.9
2006,06115,19
2006,08000,11.6
2006,08003,22.8
2006,08005,10.3
2006,08007,10.5
2006,08009,17.8
2006,08011,24.3
2006,08014,10.14
2006,08015,13.1
2006,08017,13.4
2006,08019,7.3
2006,08021,24
2006,08023,29.5
2006,08025,35.6
2006,08027,13
2006,08029,13.7
2006,08031,19.7
2006,08033,13.9
2006,08035,2.5
2006,08037,7.3
2006,08039,5.3
2006,08041,9.3
2006,08043,16.9
2006,08045,7.6
2006,08047,5.6
2006,08049,7.8
