"","fips","2000","2010","2014","2016","2018","2020"
"1","01001",0.4426,0.3512,0.4696,0.3773,0.4354,0.513
"2","01003",0.3675,0.425,0.3432,0.2757,0.2162,0.3103
"3","01005",0.9589,0.9656,0.9742,0.9847,0.9959,0.9927
"4","01007",0.8388,0.7211,0.6278,0.5737,0.6003,0.8078
"5","01009",0.4878,0.5059,0.5581,0.4986,0.4242,0.5137
"6","01011",0.999,0.9366,0.9914,0.9363,0.8898,0.831
"7","01013",0.9334,0.9347,0.9016,0.9166,0.8653,0.6843
"8","01015",0.6926,0.822,0.7708,0.816,0.8252,0.7349
"9","01017",0.8006,0.8816,0.9131,0.8408,0.7382,0.8074
"10","01019",0.4445,0.5167,0.5661,0.419,0.4516,0.3269
"11","01021",0.5824,0.6956,0.7536,0.744,0.7602,0.7222
"12","01023",0.8888,0.8507,0.8309,0.8297,0.8748,0.7116
"13","01025",0.8802,0.9045,0.866,0.8233,0.8471,0.8552
"14","01027",0.7257,0.9035,0.8596,0.5922,0.564,0.5309
"15","01029",0.4238,0.7424,0.6008,0.6291,0.5417,0.4542
"16","01031",0.6229,0.6001,0.5221,0.5266,0.5408,0.6489
"17","01033",0.4398,0.4897,0.54,0.4333,0.4274,0.3475
"18","01035",0.8713,0.8561,0.9147,0.8628,0.8086,0.6575
"19","01037",0.7754,0.6479,0.7962,0.772,0.5261,0.436
"20","01039",0.7095,0.7685,0.7568,0.695,0.7723,0.7075
"21","01041",0.8105,0.8141,0.6953,0.7014,0.6873,0.6025
"22","01043",0.4429,0.5734,0.5842,0.4909,0.5182,0.5156
"23","01045",0.7926,0.6094,0.7052,0.7463,0.7599,0.8065
"24","01047",0.9315,0.9637,0.9659,0.9586,0.949,0.9157
"25","01049",0.6528,0.836,0.7638,0.751,0.8022,0.7387
"26","01051",0.4334,0.5737,0.4553,0.5415,0.5401,0.4564
"27","01053",0.8732,0.8752,0.8873,0.8637,0.8557,0.8708
"28","01055",0.6754,0.7173,0.7689,0.7335,0.6564,0.6483
"29","01057",0.7015,0.5969,0.8083,0.7217,0.7038,0.6725
"30","01059",0.7936,0.865,0.922,0.9195,0.8417,0.7298
"31","01061",0.7369,0.5247,0.8074,0.8173,0.7955,0.5691
"32","01063",0.9767,0.993,0.9892,0.9882,0.9854,0.9513
"33","01065",0.9554,0.9551,0.9736,0.9793,0.9599,0.9351
"34","01067",0.8359,0.7399,0.6377,0.596,0.5519,0.5646
"35","01069",0.6324,0.6253,0.6266,0.6819,0.6838,0.7021
"36","01071",0.4863,0.5575,0.6148,0.5788,0.5726,0.5528
"37","01073",0.7108,0.6663,0.6533,0.6409,0.6621,0.7562
"38","01075",0.6646,0.5205,0.8223,0.6804,0.6264,0.5519
"39","01077",0.4315,0.5209,0.4957,0.5396,0.4468,0.4745
"40","01079",0.5949,0.4556,0.4785,0.4858,0.4952,0.4239
"41","01081",0.6519,0.6921,0.5938,0.5989,0.6602,0.6795
"42","01083",0.5681,0.5794,0.4604,0.5269,0.5296,0.4602
"43","01085",0.9414,0.9312,0.929,0.8908,0.9188,0.8997
"44","01087",0.9869,0.9331,0.9624,0.9023,0.8971,0.8896
"45","01089",0.3684,0.4206,0.3333,0.3034,0.3076,0.3596
"46","01091",0.9563,0.8809,0.8437,0.8937,0.7621,0.8113
"47","01093",0.7019,0.7507,0.7214,0.6256,0.671,0.6833
"48","01095",0.6079,0.7819,0.8208,0.7876,0.7261,0.6222
"49","01097",0.8433,0.8341,0.7975,0.787,0.7532,0.7947
"50","01099",0.8707,0.8446,0.8239,0.7491,0.7481,0.7241
"51","01101",0.778,0.7838,0.7873,0.8093,0.8427,0.9032
"52","01103",0.5525,0.6864,0.6915,0.7192,0.6895,0.6413
"53","01105",0.9971,0.9946,1,1,0.9949,0.9137
"54","01107",0.9267,0.9137,0.9459,0.9379,0.9207,0.9379
"55","01109",0.9248,0.9109,0.8618,0.9153,0.9016,0.8059
"56","01111",0.8149,0.901,0.8698,0.8029,0.7191,0.5347
"57","01113",0.9101,0.8981,0.894,0.8892,0.9115,0.8918
"58","01115",0.3821,0.4164,0.49,0.3289,0.3656,0.3224
"59","01117",0.0445,0.1585,0.1248,0.1073,0.1169,0.1155
"60","01119",0.9942,0.9825,0.9936,0.9748,0.9557,0.9653
"61","01121",0.8643,0.851,0.9226,0.8841,0.8736,0.8768
"62","01123",0.7544,0.8201,0.8666,0.9093,0.8863,0.8927
"63","01125",0.7277,0.6835,0.6199,0.6253,0.6255,0.682
"64","01127",0.6187,0.6679,0.7622,0.78,0.7452,0.6875
"65","01129",0.7417,0.7749,0.5021,0.7364,0.7303,0.4599
"66","01131",0.9945,0.9545,0.9236,0.8711,0.928,0.9208
"67","01133",0.555,0.5285,0.7128,0.7421,0.7025,0.6852
"68","02013",0.7993,0.7195,0.6078,0.5307,0.5803,0.6442
"69","02016",0.6952,0.6867,0.4817,0.4537,0.4927,0.4959
"70","02020",0.5257,0.5288,0.4129,0.4005,0.4602,0.5761
"71","02050",0.9312,0.972,0.9357,0.9628,0.9748,0.9542
"72","02060",0.4573,0.2232,0.2544,0.2996,0.3525,0.2314
"73","02068",0.235,0.0188,0.1197,0.0232,0.101,0.2155
"74","02070",0.8585,0.8571,0.8574,0.8481,0.8682,0.9363
"75","02090",0.5095,0.3916,0.3477,0.3486,0.3446,0.5264
"76","02100",0.2805,0.0382,0.1455,0.1576,0.207,0.5248
"77","02110",0.4414,0.4241,0.3413,0.2779,0.2987,0.3526
"78","02122",0.5156,0.2824,0.2646,0.3645,0.4073,0.5236
"79","02130",0.5468,0.4909,0.3948,0.5065,0.5548,0.6518
"80","02150",0.6149,0.7517,0.5597,0.5103,0.7006,0.7667
"81","02164",0.7866,0.8972,0.7778,0.8007,0.7978,0.852
"82","02170",0.3334,0.2623,0.2251,0.2537,0.3172,0.499
"83","02180",0.884,0.9465,0.9144,0.9214,0.9299,0.9367
"84","02185",0.7598,0.9376,0.7084,0.7281,0.7344,0.8555
"85","02188",0.9124,0.965,0.908,0.9373,0.9354,0.9153
"86","02201",0.6382,NA,NA,NA,NA,NA
"87","02220",0.5589,0.455,0.3865,0.4607,0.4022,0.4809
"88","02232",0.4601,NA,NA,NA,NA,NA
"89","02240",0.7458,0.4234,0.4438,0.6068,0.5838,0.6878
"90","02261",0.6006,0.4982,0.5387,0.4699,0.2704,NA
"91","02270",0.8595,0.9354,0.8637,NA,NA,NA
"92","02280",0.4987,NA,NA,NA,NA,NA
"93","02282",0.7146,0.2496,0.4919,0.5409,0.5873,0.4468
"94","02290",0.7878,0.8399,0.8469,0.8695,0.8812,0.8657
"95","04001",0.9888,0.9927,0.9911,0.9885,0.9885,0.965
"96","04003",0.907,0.8637,0.9058,0.9303,0.9064,0.9243
"97","04005",0.8156,0.8192,0.8169,0.7638,0.7131,0.8259
"98","04007",0.8563,0.8013,0.8816,0.9115,0.899,0.8205
"99","04009",0.9691,0.9838,0.9522,0.9653,0.964,0.8819
"100","04011",0.6261,0.7364,0.696,0.6288,0.6188,0.3571
"101","04012",0.8401,0.8707,0.8561,0.9169,0.9236,0.9481
"102","04013",0.5939,0.7065,0.6689,0.6469,0.6354,0.7397
"103","04015",0.7662,0.7705,0.8771,0.9102,0.8624,0.8695
"104","04017",0.9831,0.9904,0.9955,0.9946,0.9955,0.9901
"105","04019",0.7636,0.8217,0.8402,0.8717,0.8828,0.9118
"106","04021",0.9547,0.8628,0.8481,0.8593,0.8592,0.8377
"107","04023",0.9063,0.9535,0.9128,0.915,0.9318,0.9449
"108","04025",0.4824,0.4779,0.5985,0.5457,0.521,0.6187
"109","04027",0.9958,0.999,0.993,0.9898,0.9895,0.9936
"110","05001",0.7493,0.7529,0.6116,0.7771,0.7787,0.6967
"111","05003",0.8143,0.8185,0.8052,0.7692,0.8576,0.6706
"112","05005",0.2461,0.3731,0.3636,0.306,0.2793,0.3094
"113","05007",0.3878,0.426,0.2754,0.2677,0.2707,0.33
"114","05009",0.4582,0.5021,0.5606,0.5731,0.4379,0.2909
"115","05011",0.9455,0.9121,0.9669,0.9924,0.9803,0.9074
"116","05013",0.7251,0.4963,0.5018,0.5683,0.5481,0.5474
"117","05015",0.6605,0.6157,0.5954,0.6826,0.5952,0.6413
"118","05017",0.9996,0.9981,0.999,0.9975,0.9968,0.9968
"119","05019",0.8292,0.8669,0.8061,0.8714,0.7892,0.8603
"120","05021",0.4933,0.4527,0.6848,0.6507,0.6529,0.4624
"121","05023",0.3242,0.4167,0.4037,0.3706,0.2083,0.2686
"122","05025",0.6012,0.3935,0.5234,0.6323,0.5643,0.2616
"123","05027",0.8847,0.9039,0.916,0.9236,0.9398,0.8609
"124","05029",0.7681,0.7268,0.7542,0.7778,0.7589,0.7486
"125","05031",0.6493,0.7867,0.7405,0.7593,0.8041,0.788
"126","05033",0.7197,0.6485,0.6788,0.6606,0.6105,0.6369
"127","05035",0.9318,0.9487,0.9004,0.9217,0.9341,0.9252
"128","05037",0.8783,0.6877,0.7294,0.7408,0.7013,0.8479
"129","05039",0.9579,0.8784,0.7931,0.8641,0.8777,0.7355
"130","05041",0.9659,0.9214,0.9195,0.9411,0.9596,0.9271
"131","05043",0.8347,0.8793,0.9449,0.8523,0.801,0.6324
"132","05045",0.5878,0.5766,0.4352,0.4317,0.4774,0.5185
"133","05047",0.7318,0.5966,0.5428,0.652,0.5943,0.5665
"134","05049",0.4073,0.4148,0.511,0.6673,0.6688,0.6381
"135","05051",0.6433,0.7383,0.822,0.8338,0.828,0.8902
"136","05053",0.2015,0.1961,0.2709,0.2423,0.3541,0.1687
"137","05055",0.5318,0.6437,0.4231,0.4247,0.5834,0.6493
"138","05057",0.9391,0.9271,0.964,0.9752,0.9468,0.9102
"139","05059",0.6031,0.6224,0.6071,0.6281,0.8188,0.641
"140","05061",0.857,0.9058,0.9233,0.8994,0.9045,0.8851
"141","05063",0.5665,0.6387,0.8058,0.7619,0.7525,0.6824
"142","05065",0.5993,0.4365,0.6052,0.6377,0.5697,0.5563
"143","05067",0.7541,0.8303,0.8249,0.858,0.765,0.6862
"144","05069",0.9296,0.9497,0.8854,0.9408,0.9436,0.944
"145","05071",0.8146,0.8208,0.7991,0.8013,0.8768,0.8437
"146","05073",0.9028,0.8421,0.8446,0.8039,0.7898,0.8577
"147","05075",0.6649,0.5954,0.6017,0.7081,0.6471,0.5802
"148","05077",0.9904,0.9694,0.9268,0.9163,0.9656,0.9739
"149","05079",0.848,0.9357,0.936,0.944,0.8134,0.3966
"150","05081",0.7585,0.646,0.5224,0.6692,0.6306,0.4048
"151","05083",0.6815,0.6081,0.7415,0.758,0.8045,0.5083
"152","05085",0.3898,0.4011,0.3897,0.3779,0.3309,0.3046
"153","05087",0.6273,0.4209,0.6087,0.5132,0.6535,0.5146
"154","05089",0.3563,0.1866,0.4613,0.4989,0.5175,0.444
"155","05091",0.8343,0.8306,0.8217,0.8411,0.9124,0.8972
"156","05093",0.9337,0.929,0.9137,0.9204,0.9554,0.9227
"157","05095",0.9369,0.943,0.8857,0.9121,0.8516,0.8962
"158","05097",0.6585,0.4935,0.4947,0.5473,0.7,0.5745
"159","05099",0.9219,0.7832,0.8736,0.8036,0.8841,0.7441
"160","05101",0.5799,0.3849,0.3372,0.3639,0.2815,0.2078
"161","05103",0.8464,0.8405,0.8571,0.8816,0.8656,0.8654
"162","05105",0.4875,0.4327,0.3875,0.4779,0.636,0.3857
"163","05107",0.9694,0.9596,0.9755,0.9787,0.9239,0.9017
"164","05109",0.6837,0.7564,0.8163,0.7011,0.7124,0.5551
"165","05111",0.8082,0.8093,0.8631,0.8163,0.8268,0.739
"166","05113",0.692,0.5228,0.7784,0.8653,0.8949,0.8501
"167","05115",0.6366,0.6689,0.7147,0.7412,0.7936,0.7607
"168","05117",0.6468,0.5514,0.632,0.6963,0.6548,0.4672
"169","05119",0.6213,0.6581,0.5209,0.5721,0.6287,0.7635
"170","05121",0.6563,0.5606,0.554,0.6113,0.7166,0.6531
"171","05123",0.9754,0.9854,0.9889,0.9771,0.9691,0.9835
"172","05125",0.2442,0.2875,0.3133,0.3206,0.3325,0.2947
"173","05127",0.7525,0.8338,0.8599,0.9239,0.8873,0.8533
"174","05129",0.5652,0.5753,0.5444,0.4253,0.4376,0.3262
"175","05131",0.7235,0.7647,0.7514,0.7943,0.8328,0.8511
"176","05133",0.8474,0.8933,0.8911,0.8249,0.7675,0.782
"177","05135",0.4703,0.4499,0.7373,0.6584,0.6191,0.5831
"178","05137",0.4738,0.5444,0.5613,0.5479,0.5102,0.6951
"179","05139",0.8554,0.8332,0.8593,0.8532,0.8054,0.7011
"180","05141",0.5872,0.6848,0.8166,0.6765,0.7226,0.7588
"181","05143",0.6697,0.7596,0.7361,0.6466,0.6745,0.7852
"182","05145",0.7283,0.6644,0.6947,0.7205,0.7446,0.81
"183","05147",0.9143,0.7803,0.9265,0.9293,0.849,0.7444
"184","05149",0.8496,0.8886,0.8755,0.8835,0.8783,0.7346
"185","06001",0.6219,0.6705,0.5565,0.5164,0.4701,0.515
"186","06003",0.3735,0.2592,0.4508,0.6227,0.7287,0.5041
"187","06005",0.4277,0.368,0.4406,0.5046,0.5334,0.5942
"188","06007",0.8391,0.7943,0.7924,0.7915,0.8064,0.8294
"189","06009",0.278,0.1194,0.226,0.2642,0.235,0.324
"190","06011",0.9194,0.9051,0.8504,0.7428,0.7436,0.7642
"191","06013",0.3843,0.4804,0.4075,0.4078,0.4057,0.4736
"192","06015",0.9745,0.9526,0.9771,0.9733,0.9713,0.9462
"193","06017",0.2264,0.1815,0.178,0.2108,0.1838,0.2266
"194","06019",0.9671,0.9758,0.9653,0.9666,0.9611,0.9609
"195","06021",0.9286,0.8739,0.9309,0.9548,0.8895,0.8854
"196","06023",0.7468,0.596,0.7004,0.7345,0.7605,0.8278
"197","06025",0.9984,1,0.9968,0.9965,0.9978,0.9946
"198","06027",0.6894,0.6918,0.7033,0.6498,0.5701,0.5293
"199","06029",0.9786,0.9803,0.9586,0.9596,0.9659,0.9694
"200","06031",0.9576,0.9812,0.9698,0.9742,0.9707,0.9459
"201","06033",0.9057,0.829,0.9096,0.9427,0.9178,0.895
"202","06035",0.7449,0.8058,0.8316,0.745,0.5997,0.6353
"203","06037",0.8761,0.8504,0.7997,0.7883,0.7682,0.8584
"204","06039",0.9722,0.9621,0.9408,0.9459,0.9541,0.9348
"205","06041",0.1757,0.2891,0.2833,0.2623,0.2701,0.3316
"206","06043",0.6025,0.4444,0.4521,0.532,0.5293,0.83
"207","06045",0.8127,0.815,0.8752,0.8825,0.8818,0.9561
"208","06047",0.9608,0.9828,0.9803,0.9806,0.9717,0.9698
"209","06049",0.9165,0.8711,0.6972,0.5727,0.7516,0.7715
"210","06051",0.3608,0.3808,0.3594,0.2853,0.1408,0.4223
"211","06053",0.8487,0.8975,0.8338,0.8157,0.799,0.845
"212","06055",0.535,0.6425,0.5527,0.5049,0.5051,0.6209
"213","06057",0.1815,0.1843,0.1939,0.2197,0.2045,0.2164
"214","06059",0.5054,0.5349,0.4578,0.4425,0.4191,0.5621
"215","06061",0.1964,0.1977,0.2066,0.1834,0.1519,0.1782
"216","06063",0.3681,0.3378,0.467,0.3906,0.2653,0.3972
"217","06065",0.8665,0.843,0.823,0.8214,0.7939,0.8297
"218","06067",0.7665,0.781,0.7943,0.7797,0.7338,0.7673
"219","06069",0.592,0.7217,0.5804,0.5677,0.5245,0.5738
"220","06071",0.8926,0.8927,0.9013,0.9105,0.901,0.9058
"221","06073",0.6942,0.6648,0.588,0.5724,0.5596,0.6989
"222","06075",0.5429,0.5291,0.419,0.4088,0.3911,0.4322
"223","06077",0.9308,0.9118,0.9115,0.9045,0.8892,0.8864
"224","06079",0.4885,0.4502,0.3926,0.377,0.3739,0.4465
"225","06081",0.2378,0.3556,0.284,0.2735,0.265,0.2638
"226","06083",0.7,0.7504,0.7364,0.716,0.7111,0.8364
"227","06085",0.3238,0.5119,0.4005,0.3852,0.3557,0.3714
"228","06087",0.5493,0.5829,0.4944,0.5148,0.543,0.6139
"229","06089",0.7824,0.7125,0.7297,0.6807,0.7022,0.7451
"230","06091",0.4952,0.1592,0.1385,0.0933,0.0452,0.281
"231","06093",0.7716,0.7377,0.8227,0.8138,0.7223,0.7492
"232","06095",0.6694,0.6765,0.6546,0.6511,0.5911,0.6311
"233","06097",0.4,0.5103,0.46,0.4285,0.4035,0.5076
"234","06099",0.8936,0.8962,0.8908,0.8832,0.8675,0.8498
"235","06101",0.8678,0.8644,0.8294,0.8634,0.8822,0.8619
"236","06103",0.9359,0.9446,0.9077,0.9491,0.9624,0.9287
"237","06105",0.6726,0.46,0.5486,0.731,0.7411,0.8612
"238","06107",0.9678,0.9631,0.9363,0.9376,0.9417,0.9344
"239","06109",0.477,0.4957,0.5642,0.568,0.4688,0.5961
"240","06111",0.542,0.5495,0.5126,0.5062,0.4828,0.6073
"241","06113",0.7703,0.7463,0.6813,0.6756,0.6768,0.7307
"242","06115",0.977,0.9296,0.9666,0.9513,0.942,0.9147
"243","08014",0.37775,0.35732,0.31042,0.28296,0.25414,0.33784
"244","08003",0.9076,0.9414,0.9405,0.9834,0.9452,0.9806
"245","08005",0.2207,0.412,0.3317,0.3056,0.2662,0.4131
"246","08007",0.2891,0.1232,0.2318,0.2569,0.257,0.2836
"247","08009",0.4025,0.2557,0.3824,0.5314,0.6086,0.5522
"248","08011",0.8,0.8742,0.7908,0.829,0.8981,0.8119
"249","08015",0.3194,0.2646,0.2264,0.1605,0.2389,0.6203
"250","08017",0.2436,0.2388,0.1636,0.2267,0.2589,0.0608
"251","08019",0.0031,0.008,0.0108,0.0121,0.0197,0.1381
"252","08021",0.9127,0.8523,0.8621,0.8857,0.9325,0.8915
"253","08023",0.9426,0.944,0.8491,0.8574,0.9379,0.9163
"254","08025",0.7136,0.7717,0.8797,0.908,0.893,0.824
"255","08027",0.021,0.1388,0.177,0.3254,0.2433,0.0557
"256","08029",0.5496,0.467,0.6024,0.6874,0.6866,0.7327
"257","08031",0.6958,0.6781,0.5342,0.4798,0.4197,0.5821
"258","08033",0.2949,0.1837,0.3107,0.3349,0.1516,0.0627
"259","08035",0.005,0.0143,0.0188,0.0175,0.015,0.0248
"260","08037",0.1248,0.234,0.163,0.1487,0.1369,0.3561
"261","08039",0.0012,6e-04,0.0064,0.0045,0,0.001
"262","08041",0.3464,0.4534,0.3941,0.3642,0.3927,0.4895
"263","08043",0.5697,0.6215,0.6714,0.688,0.6525,0.6197
"264","08045",0.3426,0.4817,0.475,0.4448,0.351,0.5716
"265","08047",0.0015,0.0019,0.0086,0.0076,0.0022,0.0146
"266","08049",0.0633,0.036,0.0774,0.1032,0.0987,0.1881
"267","08051",0.1894,0.2181,0.2525,0.2732,0.1392,0.1868
"268","08053",6e-04,0.0051,0.0038,0.0516,0.0624,0.2603
"269","08055",0.8398,0.7214,0.7268,0.5654,0.5955,0.4188
"270","08057",0.0974,0.0318,0.2299,0.0493,0.1137,0.2257
"271","08061",0.1914,0.0513,0.398,0.4912,0.3188,0.1292
"272","08063",0.6041,0.511,0.7141,0.5371,0.5153,0.6658
"273","08065",0.6853,0.7959,0.362,0.313,0.4452,0.4481
"274","08067",0.2984,0.1665,0.121,0.1207,0.1086,0.2527
"275","08069",0.1082,0.1643,0.1388,0.1229,0.1194,0.1833
"276","08071",0.8461,0.8029,0.7189,0.6444,0.8373,0.8326
"277","08073",0.4302,0.6052,0.6969,0.6842,0.4857,0.5029
"278","08075",0.5308,0.5326,0.7081,0.5963,0.628,0.6595
"279","08077",0.5197,0.4078,0.4928,0.5514,0.5755,0.6833
"280","08079",0.0025,0,0.0175,0.0382,0.0261,0.0754
"281","08081",0.6557,0.3391,0.32,0.3321,0.5471,0.8087
"282","08083",0.7343,0.5931,0.5298,0.4282,0.4946,0.5299
"283","08085",0.6576,0.5664,0.688,0.7367,0.7153,0.5363
"284","08087",0.7694,0.8727,0.8329,0.7647,0.7414,0.8418
"285","08089",0.9429,0.936,0.9707,0.9424,0.9561,0.8886
"286","08091",0.0035,0.0041,0.0194,0.0156,0.0239,0.0274
"287","08093",3e-04,0.0013,0,0,6e-04,0.0169
"288","08095",0.47,0.4677,0.759,0.3381,0.2955,0.4332
"289","08097",0.0496,0.0341,0.0357,0.0579,0.0656,0.1458
"290","08099",0.8429,0.9029,0.9478,0.9417,0.9392,0.9612
"291","08101",0.8238,0.8144,0.8453,0.8676,0.8669,0.8587
"292","08103",0.4035,0.2372,0.3973,0.2541,0.3401,0.4812
"293","08105",0.8605,0.8819,0.8895,0.9223,0.9586,0.9408
"294","08107",0.0146,0.0264,0.0385,0.0528,0.0634,0.1066
"295","08109",0.8952,0.808,0.7281,0.7186,0.807,0.8052
