"","fips","2000","2010","2014","2016","2018","2020"
"1","01001",0.5691,0.4837,0.4986,0.5976,0.5947,0.6337
"2","01003",0.5254,0.626,0.6288,0.5294,0.4358,0.5022
"3","01005",0.8662,0.8672,0.8898,0.8558,0.8558,0.8962
"4","01007",0.4047,0.5903,0.5237,0.5018,0.4323,0.6292
"5","01009",0.6197,0.6524,0.5864,0.5992,0.5915,0.4147
"6","01011",0.942,0.7746,0.9322,0.8341,0.6749,0.9809
"7","01013",0.5815,0.4758,0.6259,0.7529,0.6447,0.8686
"8","01015",0.5394,0.6823,0.6211,0.5871,0.6507,0.6582
"9","01017",0.5143,0.6031,0.5046,0.5798,0.4597,0.8421
"10","01019",0.2786,0.1938,0.1675,0.1417,0.2751,0.2778
"11","01021",0.6359,0.7157,0.7393,0.724,0.6966,0.5519
"12","01023",0.6328,0.4723,0.4368,0.4088,0.5896,0.8256
"13","01025",0.4512,0.4513,0.5056,0.5415,0.4763,0.8631
"14","01027",0.4162,0.7091,0.568,0.4788,0.4247,0.5423
"15","01029",0.3579,0.4172,0.1566,0.3782,0.3419,0.2202
"16","01031",0.6222,0.7501,0.7854,0.7313,0.7256,0.6862
"17","01033",0.52,0.5585,0.4339,0.3642,0.397,0.577
"18","01035",0.5442,0.4809,0.5966,0.4273,0.4397,0.8756
"19","01037",0.4671,0.3886,0.6425,0.7329,0.5314,0.7406
"20","01039",0.2678,0.5544,0.5033,0.4686,0.3941,0.4981
"21","01041",0.3398,0.7517,0.6536,0.6769,0.6979,0.6741
"22","01043",0.449,0.4961,0.4218,0.4174,0.3305,0.2753
"23","01045",0.7006,0.6884,0.6164,0.639,0.6772,0.7027
"24","01047",0.5487,0.5703,0.5444,0.5454,0.5345,0.971
"25","01049",0.6843,0.7972,0.7806,0.7682,0.7625,0.5439
"26","01051",0.4149,0.6403,0.6224,0.6097,0.581,0.6458
"27","01053",0.5178,0.5022,0.4635,0.475,0.6027,0.7934
"28","01055",0.5754,0.6362,0.624,0.6721,0.6396,0.5831
"29","01057",0.2563,0.2574,0.2467,0.1983,0.2216,0.4758
"30","01059",0.7684,0.8195,0.823,0.8131,0.8185,0.606
"31","01061",0.3748,0.5232,0.5772,0.547,0.4626,0.4949
"32","01063",0.5111,0.823,0.5505,0.4912,0.5043,0.985
"33","01065",0.4968,0.5,0.68,0.6855,0.5116,0.9335
"34","01067",0.7203,0.6314,0.6975,0.6157,0.4725,0.6916
"35","01069",0.5022,0.6212,0.6402,0.6348,0.5938,0.7276
"36","01071",0.2477,0.3711,0.4097,0.3661,0.3126,0.3488
"37","01073",0.7786,0.85,0.8437,0.8214,0.8099,0.8787
"38","01075",0.3254,0.2412,0.439,0.3356,0.2034,0.4319
"39","01077",0.45,0.477,0.5018,0.4429,0.4464,0.4777
"40","01079",0.4901,0.4239,0.3445,0.3457,0.3725,0.6034
"41","01081",0.6417,0.7399,0.7689,0.7294,0.7189,0.7151
"42","01083",0.657,0.7154,0.6769,0.6412,0.6186,0.6127
"43","01085",0.5955,0.5996,0.5142,0.5279,0.539,0.9758
"44","01087",0.7095,0.5426,0.7494,0.5371,0.5053,0.9866
"45","01089",0.7028,0.7584,0.7485,0.7367,0.7217,0.7447
"46","01091",0.7888,0.5626,0.5479,0.4881,0.496,0.8988
"47","01093",0.2366,0.4334,0.2687,0.2152,0.3002,0.2778
"48","01095",0.6506,0.7765,0.7698,0.7657,0.7708,0.5407
"49","01097",0.7334,0.7746,0.7335,0.6963,0.6845,0.8253
"50","01099",0.5477,0.5802,0.4454,0.4658,0.469,0.8517
"51","01101",0.7461,0.8863,0.8851,0.872,0.8656,0.9526
"52","01103",0.7082,0.7838,0.7507,0.7437,0.7504,0.6174
"53","01105",0.6229,0.5661,0.7319,0.6453,0.6237,0.9653
"54","01107",0.5716,0.6998,0.6068,0.7577,0.8446,0.8558
"55","01109",0.7264,0.773,0.7625,0.8204,0.8214,0.832
"56","01111",0.6308,0.7078,0.3824,0.3349,0.4266,0.6197
"57","01113",0.7117,0.5989,0.7211,0.7268,0.7937,0.8972
"58","01115",0.2726,0.4408,0.4483,0.3948,0.3961,0.4411
"59","01117",0.5372,0.696,0.7068,0.6839,0.6877,0.5882
"60","01119",0.6111,0.512,0.7545,0.8185,0.6724,0.9749
"61","01121",0.4936,0.5566,0.6275,0.5893,0.5883,0.7683
"62","01123",0.4824,0.6448,0.5498,0.51,0.4215,0.6986
"63","01125",0.6777,0.7842,0.7338,0.6937,0.7087,0.7826
"64","01127",0.3146,0.3583,0.3785,0.4088,0.3862,0.3705
"65","01129",0.448,0.5668,0.5186,0.6043,0.5708,0.733
"66","01131",0.7073,0.4844,0.5422,0.5629,0.7708,0.9723
"67","01133",0.1449,0.3141,0.3295,0.2913,0.2592,0.1779
"68","02013",0.9863,0.9984,0.9952,0.9946,0.9952,0.9898
"69","02016",0.9726,0.9929,0.985,0.9784,0.986,0.9796
"70","02020",0.8468,0.8574,0.8516,0.8558,0.8634,0.8224
"71","02050",0.991,0.9815,0.9554,0.9465,0.9452,0.9949
"72","02060",0.4461,0.4398,0.4177,0.4222,0.4257,0.8842
"73","02068",0.299,0.1712,0.7074,0.1977,0.454,0.5363
"74","02070",0.9754,0.9681,0.9468,0.8704,0.8045,0.9882
"75","02090",0.6719,0.6005,0.6654,0.6457,0.5747,0.6986
"76","02100",0.2875,0.2472,0.404,0.5259,0.5724,0.6544
"77","02110",0.6853,0.7167,0.7373,0.7342,0.737,0.7543
"78","02122",0.6461,0.3965,0.3496,0.4588,0.4588,0.5598
"79","02130",0.7334,0.7721,0.6285,0.7456,0.7459,0.7575
"80","02150",0.9449,0.9252,0.8972,0.9357,0.9443,0.8857
"81","02164",0.9121,0.8599,0.8411,0.7966,0.6301,0.9777
"82","02170",0.4818,0.4646,0.5008,0.5088,0.582,0.5716
"83","02180",0.9181,0.8711,0.8351,0.8755,0.8832,0.9889
