"","fips","2000","2010","2014","2016","2018","2020"
"1","01001",0.3828,0.2837,0.4145,0.3298,0.3631,0.3838
"2","01003",0.1818,0.2611,0.3372,0.2881,0.2232,0.3253
"3","01005",0.8468,0.9465,0.9628,0.9768,0.978,0.9567
"4","01007",0.8656,0.7103,0.8201,0.7393,0.7694,0.8008
"5","01009",0.5681,0.632,0.7348,0.6609,0.6143,0.5757
"6","01011",0.9464,0.886,0.958,0.9812,0.9771,0.7183
"7","01013",0.9171,0.9198,0.9373,0.9067,0.8455,0.7486
"8","01015",0.6777,0.8204,0.8421,0.8179,0.7866,0.7533
"9","01017",0.8474,0.9532,0.8777,0.7689,0.6901,0.5837
"10","01019",0.6585,0.8223,0.7488,0.6008,0.6879,0.5029
"11","01021",0.6958,0.7832,0.752,0.774,0.7685,0.7295
"12","01023",0.9251,0.9316,0.8832,0.8997,0.9057,0.6766
"13","01025",0.9089,0.9252,0.9204,0.9156,0.9436,0.8864
"14","01027",0.8079,0.8956,0.8555,0.7275,0.8162,0.5856
"15","01029",0.7528,0.9089,0.7673,0.8262,0.8694,0.5439
"16","01031",0.5503,0.6167,0.5495,0.5072,0.5373,0.6041
"17","01033",0.5302,0.6208,0.6874,0.6345,0.6519,0.4647
"18","01035",0.9557,0.9809,0.9885,0.9739,0.9529,0.725
"19","01037",0.8232,0.8341,0.936,0.886,0.693,0.3065
"20","01039",0.8566,0.7991,0.7918,0.8214,0.8232,0.7514
"21","01041",0.8328,0.7947,0.7899,0.7752,0.7271,0.5395
"22","01043",0.5238,0.7093,0.6899,0.6558,0.6895,0.5827
"23","01045",0.7101,0.568,0.6886,0.7571,0.779,0.8832
"24","01047",0.9503,0.9618,0.9745,0.9704,0.9669,0.9659
"25","01049",0.7398,0.8762,0.8564,0.8115,0.8035,0.809
"26","01051",0.3872,0.497,0.4123,0.51,0.4911,0.3393
"27","01053",0.8646,0.9494,0.9596,0.95,0.9557,0.93
"28","01055",0.6525,0.7399,0.7781,0.7609,0.7169,0.7043
"29","01057",0.8828,0.7635,0.8825,0.8017,0.8306,0.8205
"30","01059",0.8245,0.8574,0.886,0.9309,0.8713,0.704
"31","01061",0.9127,0.7784,0.8523,0.9086,0.9376,0.6458
"32","01063",0.9761,0.9882,0.9924,0.9914,0.9959,0.9885
"33","01065",0.9442,0.9758,0.9284,0.9239,0.9334,0.9472
"34","01067",0.8178,0.7826,0.673,0.6536,0.6971,0.6047
"35","01069",0.5175,0.54,0.5743,0.6635,0.6943,0.7817
"36","01071",0.6894,0.765,0.8106,0.8138,0.7927,0.6945
"37","01073",0.4789,0.4464,0.5056,0.4973,0.5185,0.6862
"38","01075",0.863,0.8236,0.8459,0.9042,0.8726,0.4484
"39","01077",0.5165,0.6358,0.5642,0.6097,0.4946,0.5306
"40","01079",0.7477,0.7332,0.774,0.7861,0.7373,0.5605
"41","01081",0.6321,0.6103,0.5801,0.5438,0.5465,0.5907
"42","01083",0.428,0.4951,0.4734,0.5431,0.5812,0.4074
"43","01085",0.9853,0.9736,0.9793,0.9723,0.9732,0.9628
"44","01087",0.9563,0.9472,0.944,0.9443,0.9494,0.9118
"45","01089",0.257,0.2907,0.2872,0.2687,0.2863,0.3046
"46","01091",0.8901,0.8758,0.7638,0.9016,0.8643,0.8265
