"","fips","2010","2014","2016","2018","2020"
"1","01001",0.8774,0.8532,0.8313,0.7529,0.6986
"2","01003",0.4493,0.4597,0.4476,0.4323,0.4077
"3","01005",0.302,0.3327,0.3617,0.3327,0.3316
"4","01007",0.4118,0.3368,0.3088,0.2846,0.2903
"5","01009",0.683,0.6714,0.6466,0.6406,0.6489
"6","01011",0.3478,0.3044,0.362,0.2967,0.5369
"7","01013",0.6196,0.6024,0.6151,0.5578,0.522
"8","01015",0.4373,0.4441,0.4349,0.4323,0.4398
"9","01017",0.3822,0.3435,0.3467,0.2846,0.3186
"10","01019",0.2482,0.1996,0.2572,0.255,0.1773
"11","01021",0.7504,0.7275,0.7233,0.7529,0.7435
"12","01023",0.4064,0.319,0.277,0.2471,0.2447
"13","01025",0.7017,0.5941,0.5126,0.4642,0.4243
"14","01027",0.3933,0.4027,0.3699,0.3327,0.3011
"15","01029",0.5611,0.645,0.6316,0.5915,0.5522
"16","01031",0.6276,0.6511,0.6756,0.6826,0.6986
"17","01033",0.3233,0.3601,0.3664,0.3505,0.3316
"18","01035",0.4506,0.4244,0.4518,0.3419,0.3186
"19","01037",0.1635,0.1016,0.0872,0.0538,0.0512
"20","01039",0.3933,0.3999,0.4263,0.4323,0.4398
"21","01041",0.5706,0.5591,0.5412,0.5151,0.522
"22","01043",0.4761,0.4865,0.4938,0.5304,0.5369
"23","01045",0.7151,0.6794,0.6581,0.6406,0.6238
"24","01047",0.8634,0.8542,0.8332,0.774,0.7661
"25","01049",0.822,0.7991,0.7943,0.7927,0.7855
"26","01051",0.5394,0.5326,0.5495,0.5151,0.522
"27","01053",0.4042,0.4266,0.4575,0.4906,0.5369
"28","01055",0.4468,0.4502,0.419,0.3862,0.4077
"29","01057",0.3478,0.361,0.3559,0.3747,0.3673
"30","01059",0.7135,0.7065,0.7453,0.8017,0.8456
"31","01061",0.3615,0.405,0.4422,0.4642,0.4806
"32","01063",0.6365,0.5934,0.5909,0.4642,0.4077
"33","01065",0.7161,0.6485,0.6371,0.6406,0.6489
"34","01067",0.4022,0.3457,0.3158,0.3091,0.3186
"35","01069",0.6737,0.6778,0.6784,0.6406,0.6359
"36","01071",0.3851,0.3875,0.3852,0.3629,0.3428
"37","01073",0.52,0.56,0.5839,0.5915,0.5974
