"","fips","2014","2016","2018","2020"
"1","01001",0.5762,0.738,0.7905,0.683
"2","01003",0.3983,0.3521,0.3524,0.3689
"3","01005",0.8475,0.8937,0.9064,0.7581
"4","01007",0.5571,0.4419,0.6074,0.7101
"5","01009",0.6587,0.4527,0.3763,0.4421
"6","01011",0.858,0.6864,0.3983,0.2011
"7","01013",0.8997,0.7943,0.6845,0.5191
"8","01015",0.7784,0.8469,0.8564,0.8453
"9","01017",0.8424,0.689,0.6074,0.7384
"10","01019",0.9112,0.8905,0.8249,0.6031
"11","01021",0.6692,0.6361,0.6845,0.8405
"12","01023",0.9675,0.9819,0.9911,0.9736
"13","01025",0.5476,0.5419,0.6422,0.7836
"14","01027",0.8243,0.5934,0.4804,0.7782
"15","01029",0.8424,0.9093,0.9195,0.8517
"16","01031",0.6587,0.7233,0.6845,0.6712
"17","01033",0.8424,0.8032,0.7574,0.6712
"18","01035",0.9408,0.8905,0.9255,0.9223
"19","01037",0.8816,0.9163,0.9195,0.9392
"20","01039",0.8898,0.8768,0.859,0.8348
"21","01041",0.765,0.7994,0.8679,0.9157
"22","01043",0.6692,0.5288,0.6746,0.7581
"23","01045",0.8195,0.8739,0.8781,0.8724
"24","01047",0.8733,0.7125,0.6896,0.7043
"25","01049",0.5762,0.5005,0.5005,0.2874
"26","01051",0.5008,0.6743,0.6982,0.5045
"27","01053",0.8475,0.8379,0.7638,0.7508
"28","01055",0.8475,0.8141,0.8093,0.6964
"29","01057",0.9701,0.9882,0.9758,0.9605
"30","01059",0.7816,0.7692,0.5005,0.2712
"31","01061",0.9236,0.9093,0.8863,0.9605
"32","01063",0.971,0.9812,0.9685,0.8848
"33","01065",0.9112,0.886,0.8679,0.9605
"34","01067",0.8131,0.8083,0.7574,0.7384
"35","01069",0.6902,0.689,0.6896,0.5582
"36","01071",0.765,0.689,0.7638,0.824
"37","01073",0.4311,0.4639,0.5005,0.485
"38","01075",0.9497,0.9379,0.9586,0.9453
"39","01077",0.5571,0.5218,0.425,0.3959
"40","01079",0.8781,0.851,0.8462,0.9243
"41","01081",0.1831,0.2025,0.2725,0.2524
"42","01083",0.3251,0.4731,0.5756,0.4949
"43","01085",0.8781,0.9417,0.9675,0.9844
"44","01087",0.7396,0.6673,0.6558,0.6712
"45","01089",0.2445,0.2496,0.2649,0.2524
"46","01091",0.9322,0.9516,0.9675,0.9669
"47","01093",0.9663,0.9675,0.9771,0.9774
"48","01095",0.6979,0.6253,0.5005,0.3421
"49","01097",0.5008,0.483,0.3524,0.3097
"50","01099",0.5174,0.2926,0.3314,0.4717
"51","01101",0.5368,0.581,0.5686,0.5777
"52","01103",0.5571,0.6606,0.6164,0.6031
"53","01105",0.9889,0.9771,0.9704,0.9367
"54","01107",0.9634,0.9691,0.9605,0.9679
"55","01109",0.4578,0.5934,0.6422,0.5582
"56","01111",0.7348,0.5288,0.389,0.6209
"57","01113",0.7533,0.6743,0.7638,0.8348
"58","01115",0.6587,0.6533,0.5899,0.5191
"59","01117",0.1671,0.1503,0.1302,0.1792
"60","01119",0.894,0.8284,0.8949,0.8873
"61","01121",0.8131,0.7628,0.7905,0.8622
"62","01123",0.7176,0.7125,0.7762,0.824
"63","01125",0.198,0.192,0.184,0.2447
"64","01127",0.971,0.9726,0.9522,0.958
"65","01129",0.9322,0.9551,0.9605,0.6964
"66","01131",0.6902,0.745,0.7358,0.7323
"67","01133",0.971,0.9761,0.9704,0.9176
"68","02013",0.0054,0.014,0.0216,0.0993
"69","02016",0.0025,0.014,0.0118,0.0146
"70","02020",0.079,0.1047,0.1242,0.1264
"71","02050",0.0745,0.0707,0.0942,0.1404
"72","02060",0.2884,0.2496,0.3763,0.5293
"73","02068",0.0255,0.0433,0.32,0.5678
"74","02070",0.198,0.2343,0.2162,0.1792
"75","02090",0.1032,0.0907,0.1369,0.1194
"76","02100",0.4075,0.5559,0.1369,0.7702
"77","02105",0.7533,0.5559,0.5005,0.6712
